sku_id,period,week_start,forecast_step,forecast_units,forecast_lo80,forecast_hi80
NBL-1000,2026-07-07/2026-07-13,2026-07-13,1.0,438.1810278705051,402.28306042794367,474.0789953130665
NBL-1001,2026-07-07/2026-07-13,2026-07-13,1.0,262.2251978446331,238.0707739939783,286.3796216952879
NBL-1002,2026-07-07/2026-07-13,2026-07-13,1.0,775.0942170022033,742.6097257527333,807.5787082516733
NBL-1003,2026-07-07/2026-07-13,2026-07-13,1.0,235.25709759908455,209.42205624084121,261.0921389573279
NBL-1004,2026-07-07/2026-07-13,2026-07-13,1.0,442.11612400784134,405.0186451611683,479.21360285451436
NBL-1005,2026-07-07/2026-07-13,2026-07-13,1.0,17.299735272013592,9.71153098736848,24.887939556658704
NBL-1006,2026-07-07/2026-07-13,2026-07-13,1.0,291.71836807992383,265.1807527186196,318.25598344122807
NBL-1007,2026-07-07/2026-07-13,2026-07-13,1.0,350.14562832623807,317.8978341996552,382.3934224528209
NBL-1008,2026-07-07/2026-07-13,2026-07-13,1.0,143.5908007402807,126.09843097921616,161.08317050134528
NBL-1009,2026-07-07/2026-07-13,2026-07-13,1.0,125.46391253256469,104.7672364949116,146.16058857021778
NBL-1010,2026-07-07/2026-07-13,2026-07-13,1.0,296.8143473334316,265.35215424195616,328.27654042490707
NBL-1011,2026-07-07/2026-07-13,2026-07-13,1.0,221.34744234254825,202.60350969702608,240.0913749880704
NBL-1012,2026-07-07/2026-07-13,2026-07-13,1.0,127.2046447117462,111.99365687261898,142.4156325508734
NBL-1013,2026-07-07/2026-07-13,2026-07-13,1.0,41.686548351218114,33.626827664188454,49.746269038247775
NBL-1014,2026-07-07/2026-07-13,2026-07-13,1.0,183.72734123993536,159.48995654978563,207.96472593008508
NBL-1015,2026-07-07/2026-07-13,2026-07-13,1.0,107.23332841174752,93.42686002771842,121.03979679577662
NBL-1016,2026-07-07/2026-07-13,2026-07-13,1.0,74.76426141469754,61.66658661207159,87.86193621732349
NBL-1017,2026-07-07/2026-07-13,2026-07-13,1.0,117.79957511703566,101.55873527046211,134.0404149636092
NBL-1018,2026-07-07/2026-07-13,2026-07-13,1.0,368.68398244506596,336.47941191781103,400.8885529723209
NBL-1019,2026-07-07/2026-07-13,2026-07-13,1.0,70.9767987543707,55.98623195360146,85.96736555513995
NBL-1020,2026-07-07/2026-07-13,2026-07-13,1.0,553.6892451035626,523.6262395666967,583.7522506404285
NBL-1021,2026-07-07/2026-07-13,2026-07-13,1.0,580.5167881630787,549.4996027633683,611.533973562789
NBL-1022,2026-07-07/2026-07-13,2026-07-13,1.0,592.4354555398877,545.9670278086342,638.9038832711412
NBL-1023,2026-07-07/2026-07-13,2026-07-13,1.0,201.8886685226414,178.10757337959788,225.66976366568494
NBL-1024,2026-07-07/2026-07-13,2026-07-13,1.0,515.1275980293213,491.81852249827847,538.4366735603643
NBL-1025,2026-07-07/2026-07-13,2026-07-13,1.0,521.8412213162447,484.344926794344,559.3375158381455
NBL-1026,2026-07-07/2026-07-13,2026-07-13,1.0,231.4428287302381,208.53153174195165,254.35412571852453
NBL-1027,2026-07-07/2026-07-13,2026-07-13,1.0,81.77876541050577,68.87514339377626,94.68238742723528
NBL-1028,2026-07-07/2026-07-13,2026-07-13,1.0,153.34505665169957,134.84009890622212,171.850014397177
NBL-1029,2026-07-07/2026-07-13,2026-07-13,1.0,161.32015930026827,138.85003385283002,183.79028474770652
NBL-1030,2026-07-07/2026-07-13,2026-07-13,1.0,288.3815435970968,262.21569220300717,314.5473949911865
NBL-1031,2026-07-07/2026-07-13,2026-07-13,1.0,323.5761927538025,299.13368822585,348.018697281755
NBL-1032,2026-07-07/2026-07-13,2026-07-13,1.0,76.02054441932657,61.1394698529564,90.90161898569673
NBL-1033,2026-07-07/2026-07-13,2026-07-13,1.0,600.9349666751839,565.9997988060476,635.8701345443202
NBL-1034,2026-07-07/2026-07-13,2026-07-13,1.0,696.5324130451428,647.4298601486081,745.6349659416775
NBL-1035,2026-07-07/2026-07-13,2026-07-13,1.0,285.92065433895016,256.99937064934693,314.8419380285534
NBL-1036,2026-07-07/2026-07-13,2026-07-13,1.0,295.31310564112346,268.5188376092088,322.1073736730381
NBL-1037,2026-07-07/2026-07-13,2026-07-13,1.0,193.10295372404656,175.34036247914335,210.86554496894976
NBL-1038,2026-07-07/2026-07-13,2026-07-13,1.0,130.78223336492655,110.64144191074791,150.9230248191052
NBL-1039,2026-07-07/2026-07-13,2026-07-13,1.0,219.96183556318795,197.20098804002168,242.7226830863542
NBL-1040,2026-07-07/2026-07-13,2026-07-13,1.0,224.45102716026378,202.8641280630606,246.03792625746695
NBL-1041,2026-07-07/2026-07-13,2026-07-13,1.0,642.1958251116788,614.5480095421367,669.8436406812209
NBL-1042,2026-07-07/2026-07-13,2026-07-13,1.0,116.78049264779868,101.92679567494203,131.63418962065532
NBL-1043,2026-07-07/2026-07-13,2026-07-13,1.0,36.51206960501178,28.03269468532248,44.99144452470108
NBL-1044,2026-07-07/2026-07-13,2026-07-13,1.0,302.0,280.16278552656325,323.83721447343675
NBL-1045,2026-07-07/2026-07-13,2026-07-13,1.0,211.0,187.92551050614253,234.07448949385747
NBL-1046,2026-07-07/2026-07-13,2026-07-13,1.0,117.0,98.17849100534788,135.82150899465213
NBL-1047,2026-07-07/2026-07-13,2026-07-13,1.0,485.0,444.4250869807221,525.5749130192779
NBL-1048,2026-07-07/2026-07-13,2026-07-13,1.0,433.0,401.99727654771823,464.00272345228177
NBL-1049,2026-07-07/2026-07-13,2026-07-13,1.0,365.0,329.8864607896315,400.1135392103685
NBL-1050,2026-07-07/2026-07-13,2026-07-13,1.0,90.0,78.9527471833545,101.0472528166455
NBL-1051,2026-07-07/2026-07-13,2026-07-13,1.0,240.0,214.9557343754752,265.04426562452477
NBL-1052,2026-07-07/2026-07-13,2026-07-13,1.0,553.0,515.1863868036688,590.8136131963312
NBL-1053,2026-07-07/2026-07-13,2026-07-13,1.0,304.0,273.1923079824251,334.8076920175749
NBL-1054,2026-07-07/2026-07-13,2026-07-13,1.0,425.0,396.5364745529909,453.4635254470091
NBL-1055,2026-07-07/2026-07-13,2026-07-13,1.0,275.0,246.10116393058493,303.8988360694151
NBL-1056,2026-07-07/2026-07-13,2026-07-13,1.0,73.10822857850877,62.3851558461103,83.83130131090724
NBL-1057,2026-07-07/2026-07-13,2026-07-13,1.0,188.4892593131755,171.67885887799008,205.2996597483609
NBL-1058,2026-07-07/2026-07-13,2026-07-13,1.0,168.90788859875428,142.90259888363576,194.9131783138728
NBL-1059,2026-07-07/2026-07-13,2026-07-13,1.0,178.95723213340347,160.71930887534478,197.19515539146215
NBL-1060,2026-07-07/2026-07-13,2026-07-13,1.0,334.9740656262118,300.52648028601726,369.4216509664064
